Model,EngineDisplacement,Cylinders,Trans,Drive,Fuel,VehClass,AirPollutionScore,CityMPG,HwyMPG,CmbMPG,Greenhouse Gas Score,SmartWay,CombCO2
ACURA Integra,1.5,4,SCV-7,2WD,Gasoline,large car,7,30,37,33,6,No,269
ACURA MDX,3.5,6,SemiAuto-10,2WD,Gasoline,small SUV,5,19,26,22,5,No,411
ACURA MDX,3.5,6,SemiAuto-10,4WD,Gasoline,small SUV,5,19,25,21,4,No,423
ACURA RDX,2,4,SemiAuto-10,2WD,Gasoline,small SUV,6,22,28,24,5,No,370
ACURA RDX,2,4,SemiAuto-10,4WD,Gasoline,small SUV,6,21,27,23,5,No,385
ACURA TLX,2,4,SemiAuto-10,4WD,Gasoline,small car,7,21,29,24,5,No,369
ALFA ROMEO Giulia,2,4,Auto-8,2WD,Gasoline,midsize car,5,24,33,27,5,No,330
ALFA ROMEO Giulia,2.9,6,Auto-8,2WD,Gasoline,midsize car,3,17,25,20,4,No,436
ALFA ROMEO Stelvio,2,4,Auto-8,2WD,Gasoline,small SUV,5,22,29,25,5,No,359
ASTON MARTIN DBS,5.2,12,Auto-8,2WD,Gasoline,small car,3,14,22,17,3,No,522
ASTON MARTIN Vantage,4,8,Auto-8,2WD,Gasoline,small car,5,18,24,20,4,No,435
AUDI A3,2,4,AMS-7,2WD,Gasoline,small car,7,28,38,32,6,No,276
AUDI A3,2,4,AMS-7,4WD,Gasoline,small car,7,27,35,30,6,No,294
AUDI A4,2,4,AMS-7,4WD,Gasoline,small car,5,24,33,28,6,No,322
AUDI A5,2,4,AMS-7,4WD,Gasoline,small car,5,24,32,27,5,No,326
AUDI A6,2,4,AMS-7,4WD,Gasoline,midsize car,5,24,31,27,5,No,334
AUDI A6,3,6,AMS-7,4WD,Gasoline,midsize car,5,21,30,24,5,No,361
AUDI A7,3,6,AMS-7,4WD,Gasoline,midsize car,5,21,30,24,5,No,361
AUDI A8 L,3,6,SemiAuto-8,4WD,Gasoline,large car,5,19,28,22,5,No,398
AUDI Q3,2,4,SemiAuto-8,4WD,Gasoline,small SUV,6,22,29,25,5,No,361
AUDI Q5 quattro,2,4,AMS-7,4WD,Gasoline,small SUV,5,23,29,25,5,No,350
AUDI Q7,2,4,SemiAuto-8,4WD,Gasoline,standard SUV,5,19,25,21,4,No,414
AUDI Q7,3,6,SemiAuto-8,4WD,Gasoline,standard SUV,5,18,22,20,4,No,453
