Track,AlbumName,Artist,ReleaseDate,ISRC,AllTimeRank,TrackScore,SpotifyStreams,SpotifyPlaylistCount,SpotifyPlaylistReach,SpotifyPopularity,YouTubeViews,YouTubeLikes,TikTokPosts,TikTokLikes,TikTokViews
MILLION DOLLAR BABY,Million Dollar Baby - Single,Tommy Richman,4/26/2024,QM24S2402528,1,725.4,"390,470,936","30,716","196,631,588",92,"84,274,754","1,713,126","5,767,700","651,565,900","5,332,281,936"
Not Like Us,Not Like Us,Kendrick Lamar,5/4/2024,USUG12400910,2,545.9,"323,703,884","28,113","174,597,137",92,"116,347,040","3,486,739","674,700","35,223,547","208,339,025"
i like the way you kiss me,I like the way you kiss me,Artemas,3/19/2024,QZJ842400387,3,538.4,"601,309,283","54,331","211,607,669",92,"122,599,116","2,228,730","3,025,400","275,154,237","3,369,120,610"
Flowers,Flowers - Single,Miley Cyrus,1/12/2023,USSM12209777,4,444.9,"2,031,280,633","269,802","136,569,078",85,"1,096,100,899","10,629,796","7,189,811","1,078,757,968","14,603,725,994"
Houdini,Houdini,Eminem,5/31/2024,USUG12403398,5,423.3,"107,034,922","7,223","151,469,874",88,"77,373,957","3,670,188","16,400",,
Lovin On Me,Lovin On Me,Jack Harlow,11/10/2023,USAT22311371,6,410.1,"670,665,438","105,892","175,421,034",83,"131,148,091","1,392,593","4,202,367","214,943,489","2,938,686,633"
Beautiful Things,Beautiful Things,Benson Boone,1/18/2024,USWB12307016,7,407.2,"900,158,751","73,118","201,585,714",86,"308,723,145","4,120,760",,"29,584,940","534,915,313"
Gata Only,Gata Only,FloyyMenor,2/2/2024,QZL382406049,8,375.8,"675,079,153","40,094","211,236,940",92,"228,382,568","1,439,495","3,500,000","338,546,668","3,804,584,163"
Danza Kuduro - Cover,ýýýýýýýýýýýýýýýýýýýýý - ýýýýýýýýýýýýýýýýýý -,MUSIC LAB JPN,6/9/2024,TCJPA2463708,9,355.7,"1,653,018,119",1,15,,,,,,
BAND4BAND (feat. Lil Baby),BAND4BAND (feat. Lil Baby),Central Cee,5/23/2024,USSM12404354,10,330.6,"90,676,573","10,400","184,199,419",86,"32,735,244","988,682","325,800","121,574,500","974,656,200"
I Had Some Help (feat. Morgan Wallen),I Had Some Help,Post Malone,5/10/2024,USUM72404990,11,322.1,"250,080,413","16,219","168,766,158",91,"32,229,063","550,191",,"184,500","2,100,000"
The Door,The Door,Teddy Swims,6/14/2024,USWB12402486,12,320.2,"111,155,129",2,"263,767",,,,,,
LUNCH,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,USUM72401991,13,316.3,"221,636,195","13,800","197,280,692",92,"40,022,524","1,307,290","195,300","45,889,000","360,017,000"
Like That,WE DON'T TRUST YOU,Future,3/22/2024,USSM12402041,14,308.2,"355,186,436","43,025","108,168,634",88,"98,081,493","1,456,177",,,
bathroom floor,bathroom floor,Kids With Buns,10/7/2022,NLC242100307,15,301.6,"297,185",277,"24,445",12,"6,736,502,312","16,785,489",3,"1,088","22,234"
LALA,LALA - Single,Myke Towers,3/22/2023,USWL12300002,16,299.9,"925,655,569","103,605","79,944,921",79,"934,302,031","4,294,166","11,054,500","521,725,116","7,499,234,052"
Fortnight (feat. Post Malone),THE TORTURED POETS DEPARTMENT,Taylor Swift,4/18/2024,USUG12401028,17,297.6,"395,433,400","12,784","177,932,568",89,"104,673,836","2,484,083","139,300","25,348,800","207,317,000"
greedy,greedy,Tate McRae,9/14/2023,USRC12301932,18,293.7,"1,258,569,694","105,218","198,845,580",87,"141,646,818","1,514,837","2,294,429","419,319,161","5,456,156,211"
BLUE,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,USUM72401996,19,292.6,"91,272,461","6,499","52,287,548",86,"16,038,053","569,377","941,900","119,740,900","1,225,345,800"
As It Was,As It Was,Harry Styles,3/31/2022,USSM12200612,20,292,"3,301,814,535","407,119","169,783,402",87,"800,899,315","9,101,589","2,755,903","1,633,970,617","15,405,881,843"
Paint The Town Red,Paint The Town Red,Doja Cat,8/4/2023,USRC12300907,21,290.5,"1,065,399,331","170,890","121,712,197",78,"240,970,670","2,749,668","3,091,732","652,428,798","7,095,564,106"
Espresso,Espresso,Sabrina Carpenter,4/12/2024,USUM72403305,22,281.5,"547,882,871","24,425","262,343,414",95,"107,550,212","1,825,761","209,200","169,144,295","1,379,499,000"
Danza Kuduro - Cover,CLUB DE YOKUKIKU YOUGAKU MEDLEY,MUSIC LAB JPN,5/21/2024,TCJPA2445163,23,279,"1,655,575,417",10,655,,,,,,
TEXAS HOLD 'EM,TEXAS HOLD 'EM,Beyoncï¿,2/10/2024,USSM12401302,24,278.9,"426,700,979","34,044","152,928,632",86,"35,724,356","437,980","1,470,500","485,200,392","6,518,604,175"
Future,Future,official sound studio,1/10/2024,RUA1H2415548,25,277.5,,1,2,,,,"9,453,333","273,236,305","4,306,269,694"
Beat Automotivo Tan Tan Tan Viral,Beat Automotivo Tan Tan Tan Viral,WZ Beat,5/24/2022,BXWEH2200054,26,268.1,"7,382,759","3,504","661,084",35,"4,233,958","69,990","37,621,885","1,636,811,753","22,918,660,728"
